EADARP version ecec-dirty
ARGS: --ifile=EADARP/instances/random/r8-96-00000.txt  --gamma=0.7 --only_single_s_visits=false --odir=EADARP/solutions/random/r8-96-00000 --oname=run74
Settings:
--alns_gamma=0.025
--alns_segment_size=100
--alns_sigma1=10
--alns_sigma2=9
--alns_sigma3=3
--at_most_one_s=false
--gamma=0.7
--ifile=EADARP/instances/random/r8-96-00000.txt
--infeasible_arcs=EADARP/infeasible_arcs
--insert_charging_otf=true
--insert_cost_noise=0.014
--lns_init_temp_factor=0.0
--lns_temp_dec_factor=0.99
--log_all_sols_fname=
--mh_checkit=false
--mh_lfreq=0
--mh_lnewinc=true
--mh_tciter=-1
--mh_tctime=-1.0
--mh_titer=30000
--mh_tobj=-1.0
--mh_ttime=-1.0
--odir=EADARP/solutions/random/r8-96-00000
--ofile=
--oname=run74
--only_single_s_visits=false
--prepthreshold=0.1
--repair_max_routes=0
--route_based_ops=0
--seed=2084876177
--tightened_windows=EADARP/tightened_windows
--use_milp_in_otf=0
--xcheck_isfeasible=false

EADARPInstance(EADARP/instances/random/r8-96-00000.txt, n=96, n_K=8, S=[209, 210, 211], Q=14.85, n_F=8, γ=0.7, T_plan=720.0, F=[201, 202, 203, 204, 205, 206, 207, 208])

Percentage of arcs removed: 74.09537072392803%
Minimum Degree: 10
T preprocessing time [s]: 21.031
I       iter             best          obj_old          obj_new        time              method info
I        761       1037.90187       1038.06912       1037.90187      9.7830         drrr_15+rrg 
I        828       1036.46216       1037.90187       1036.46216     10.0030        drrr_15+rrri 
I        983       1033.35131       1036.46216       1033.35131     10.6670        drrr_15+rrri 
I       1145       1032.79933       1033.35131       1032.79933     11.3010        drrr_15+rrri 
I       1158       1032.24115       1032.79933       1032.24115     11.3620        drrr_15+rroi 
I       1188       1032.17108       1032.24115       1032.17108     11.4660        drrr_15+rroi 
I       1206       1032.00383       1032.17108       1032.00383     11.5570        drrr_15+rroi 
I       1254       1032.00383       1032.00383       1032.00383     11.7270         drrr_15+rrg 
I       1451       1031.53155       1032.00383       1031.53155     12.3670        drrr_15+rrri 
I       1469       1030.78108       1031.53155       1030.78108     12.4520        drrr_15+rroi 
I       1486       1027.81255       1030.78108       1027.81255     12.5170         drrr_15+rrg 
I       1629       1027.42162       1027.81255       1027.42162     12.9440        drrr_15+rroi 
I       1642       1027.25785       1027.42162       1027.25785     12.9850        drrr_15+rroi 
I       1674       1027.25437       1027.25785       1027.25437     13.0910        drrr_15+rrri 
I       2613       1026.52507       1027.25437       1026.52507     15.8950         drrr_15+rrg 
I       4046       1026.26584       1026.52507       1026.26584     19.8470        drrr_15+rroi 
I       4083       1025.32970       1026.26584       1025.32970     20.0110        drrr_15+rrri 
I       4167       1023.83133       1025.32970       1023.83133     20.3460         drrr_15+rrg 
